timestamp,slug,strategy,pnl,fees,fills_rejected,orders,resolution,open_price,close_price,session_pnl
2026-04-22T04:45:00.137Z,btc-updown-5m-1776833100,snipe-v2,0.00,0.0000,1,0,DOWN,77664.34,77572.48,66.39
2026-04-22T04:55:00.126Z,btc-updown-5m-1776833700,snipe-v2,0.00,0.0000,1,0,DOWN,77537.80,77486.00,66.39
2026-04-22T05:04:50.374Z,btc-updown-5m-1776834300,snipe-v2,2.31,0.0899,0,1,UP,77480.99,77505.37,68.70
2026-04-22T05:09:50.496Z,btc-updown-5m-1776834600,snipe-v2,2.31,0.0899,0,1,UP,77496.22,77582.34,71.01
2026-04-22T05:14:56.100Z,btc-updown-5m-1776834900,snipe-v2,2.31,0.0899,0,1,DOWN,77574.35,77567.49,73.32
2026-04-22T05:20:00.216Z,btc-updown-5m-1776835200,snipe-v2,0.00,0.0000,1,0,UP,77561.67,77950.61,73.32
2026-04-22T05:29:50.484Z,btc-updown-5m-1776835800,snipe-v2,2.66,0.0891,0,1,UP,78215.01,78250.59,75.98
2026-04-22T05:34:50.351Z,btc-updown-5m-1776836100,snipe-v2,2.11,0.0887,0,1,DOWN,78259.98,78209.02,78.09
2026-04-22T05:40:00.175Z,btc-updown-5m-1776836400,snipe-v2,0.00,0.0000,1,0,DOWN,78200.59,78010.25,78.09
2026-04-22T05:50:00.146Z,btc-updown-5m-1776837000,snipe-v2,0.00,0.0000,1,0,DOWN,78128.22,78085.36,78.09
2026-04-22T06:00:00.162Z,btc-updown-5m-1776837600,snipe-v2,0.00,0.0000,1,0,UP,78012.20,77991.97,78.09
2026-04-22T06:10:00.185Z,btc-updown-5m-1776838200,snipe-v2,0.00,0.0000,1,0,DOWN,77956.55,77940.65,78.09
